Date,PrecipTotal,StnPressure,ResultSpeed,ResultDir,VCTS,RA,HZ,BR,FG,DZ,TSRA,TS
2007-05-01,0.0,29.1,1.7,27,0,0,0,0,0,0,0,0
2007-05-02,0.0,29.38,13.0,4,0,0,0,1,0,0,0,0
2007-05-03,0.0,29.39,11.7,7,0,0,0,0,0,0,0,0
2007-05-04,0.005,29.31,10.4,8,0,1,0,0,0,0,0,0
2007-05-05,0.005,29.4,11.7,7,0,0,0,0,0,0,0,0
2007-05-06,0.0,29.57,14.4,11,0,0,0,0,0,0,0,0
2007-05-07,0.005,29.38,8.6,18,0,1,0,0,0,0,0,0
2007-05-08,0.0,29.29,2.7,11,0,0,0,1,0,0,0,0
2007-05-09,0.13,29.21,3.9,9,0,0,1,1,0,0,0,0
2007-05-10,0.0,29.2,0.7,17,0,0,0,1,0,0,0,0
2007-05-11,0.0,29.33,11.3,3,0,0,0,0,0,0,0,0
2007-05-12,0.0,29.49,12.4,3,0,0,0,0,0,0,0,0
2007-05-13,0.0,29.49,6.6,14,0,0,0,0,0,0,0,0
2007-05-14,0.0,29.23,16.9,21,0,0,0,0,0,0,0,0
2007-05-15,0.38,29.13,8.1,27,0,1,0,1,0,0,0,0
2007-05-16,0.14,29.33,7.8,36,0,1,0,1,0,0,0,0
2007-05-17,0.0,29.55,10.5,3,0,0,0,0,0,0,0,0
2007-05-18,0.0,29.53,5.4,25,0,0,0,0,0,0,0,0
2007-05-19,0.0,29.34,11.1,24,0,0,0,0,0,0,0,0
2007-05-20,0.07,29.38,10.4,4,1,1,0,0,0,0,0,0
2007-05-21,0.0,29.33,6.3,11,0,0,0,0,0,0,0,0
2007-05-22,0.0,29.34,10.0,18,0,0,0,0,0,0,0,0
2007-05-23,0.0,29.39,11.4,19,0,0,0,0,0,0,0,0
2007-05-24,0.02,29.41,14.9,21,0,1,1,0,0,0,0,0
2007-05-25,0.005,29.51,4.9,5,0,0,0,0,0,0,0,0
2007-05-26,1.01,29.36,2.8,17,0,1,1,1,0,0,1,0
2007-05-27,0.04,29.34,8.9,26,0,1,0,1,0,0,0,0
2007-05-28,0.005,29.43,4.8,10,0,1,0,0,0,0,0,0
2007-05-29,0.0,29.39,5.8,18,0,0,1,1,0,0,0,0
2007-05-30,0.0,29.31,10.3,19,0,0,1,0,0,0,0,0
2007-05-31,0.01,29.28,9.3,19,0,1,1,0,0,0,0,0
2007-06-01,0.19,29.19,4.2,17,0,0,1,1,0,0,1,0
2007-06-02,0.04,29.03,6.5,22,0,1,0,1,0,0,0,0
2007-06-03,0.01,28.82,5.2,25,0,1,1,1,0,0,1,0
2007-06-04,0.39,28.82,7.8,31,0,1,0,1,0,0,1,0
2007-06-05,0.42,29.1,5.2,5,0,1,0,1,0,0,0,0
2007-06-06,0.01,29.07,10.8,17,0,1,0,0,0,0,0,0
2007-06-07,0.0,28.84,22.7,20,0,0,0,0,0,0,0,0
2007-06-08,0.0,29.18,10.9,28,0,0,0,0,0,0,0,0
2007-06-09,0.0,29.36,0.3,33,0,0,0,0,0,0,0,0
2007-06-10,0.0,29.34,4.8,17,0,0,0,0,0,0,0,0
2007-06-11,0.0,29.41,4.9,11,0,0,0,0,0,0,0,0
2007-06-12,0.0,29.44,8.3,5,0,0,0,0,0,0,0,0
2007-06-13,0.0,29.36,7.2,5,0,0,0,0,0,0,0,0
2007-06-14,0.0,29.3,5.6,5,0,0,0,0,0,0,0,0
2007-06-15,0.0,29.28,4.1,6,0,0,0,0,0,0,0,0
2007-06-16,0.005,29.26,4.8,28,0,1,1,0,0,0,0,0
2007-06-17,0.0,29.23,2.8,11,0,0,1,0,0,0,0,0
2007-06-18,0.28,29.12,14.0,20,0,1,1,0,0,0,1,0
2007-06-19,0.58,29.26,10.7,28,0,1,0,0,0,0,0,0
2007-06-20,0.0,29.39,7.8,27,0,0,0,0,0,0,0,0
2007-06-21,0.01,29.36,3.5,3,0,1,0,0,0,0,0,0
2007-06-22,0.005,29.33,7.8,6,0,1,0,0,0,0,0,0
2007-06-23,0.05,29.23,7.6,12,0,1,0,1,0,0,0,0
2007-06-24,0.0,29.26,7.0,9,0,0,1,1,0,0,0,0
2007-06-25,0.0,29.38,3.9,14,0,0,1,1,0,0,0,0
2007-06-26,0.16,29.39,6.1,22,1,0,1,1,0,0,1,0
2007-06-27,0.15,29.29,7.5,24,0,0,0,0,0,0,1,0
2007-06-28,0.0,29.41,11.9,3,0,0,0,0,0,0,0,0
2007-06-29,0.0,29.41,7.6,2,0,0,0,0,0,0,0,0
2007-06-30,0.0,29.41,4.9,3,0,0,0,0,0,0,0,0
2007-07-01,0.0,29.51,8.6,4,0,0,0,0,0,0,0,0
2007-07-02,0.0,29.49,5.9,14,0,0,0,0,0,0,0,0
2007-07-03,0.4,29.31,6.7,21,0,1,0,1,0,0,1,0
2007-07-04,0.16,29.18,4.6,27,0,0,1,1,0,0,1,0
2007-07-05,0.0,29.24,6.4,31,0,0,1,1,0,0,0,0
2007-07-06,0.0,29.32,3.2,5,0,0,0,0,0,0,0,0
2007-07-07,0.0,29.18,8.4,22,0,0,0,0,0,0,0,0
2007-07-08,0.0,29.05,12.9,24,0,0,0,0,0,0,0,0
2007-07-09,0.3,29.11,4.9,24,1,1,0,0,0,0,1,0
2007-07-10,0.43,29.06,8.6,23,1,0,1,0,0,0,0,0
2007-07-11,0.0,29.23,8.8,30,0,0,0,0,0,0,0,0
2007-07-12,0.0,29.22,9.4,29,0,0,0,0,0,0,0,0
2007-07-13,0.0,29.26,1.4,1,0,0,0,0,0,0,0,0
2007-07-14,0.0,29.08,8.3,26,0,0,0,0,0,0,0,0
2007-07-15,0.0,29.19,2.1,29,0,0,0,0,0,0,0,0
2007-07-16,0.39,29.25,4.4,24,0,1,0,1,0,0,0,0
2007-07-17,0.11,29.18,5.2,23,1,1,0,1,0,0,0,0
2007-07-18,1.55,29.11,9.1,24,1,1,0,1,0,0,1,0
2007-07-19,0.16,29.21,7.0,1,0,0,0,1,0,1,0,0
2007-07-20,0.0,29.44,8.6,3,0,0,0,0,0,0,0,0
2007-07-21,0.0,29.51,6.5,3,0,0,0,0,0,0,0,0
2007-07-22,0.0,29.49,1.7,16,0,0,0,0,0,0,0,0
2007-07-23,0.0,29.37,3.2,9,0,0,0,0,0,0,0,0
2007-07-24,0.0,29.32,3.1,20,0,0,0,0,0,0,0,0
2007-07-25,0.005,29.29,5.8,25,0,0,0,0,0,0,0,0
2007-07-26,0.19,29.19,7.2,22,0,1,1,1,0,0,1,1
2007-07-27,0.17,29.11,3.0,3,0,1,1,1,0,0,0,0
2007-07-28,0.0,29.23,10.0,3,0,0,1,1,0,0,0,0
2007-07-29,0.0,29.28,4.8,5,0,0,0,0,0,0,0,0
2007-07-30,0.0,29.33,3.8,6,0,0,0,0,0,0,0,0
2007-07-31,0.0,29.33,3.3,4,0,0,0,0,0,0,0,0
2007-08-01,0.0,29.29,3.5,9,0,0,1,0,0,0,0,0
2007-08-02,0.0,29.26,5.5,26,0,0,1,0,0,0,0,0
2007-08-03,0.0,29.31,2.7,3,0,0,0,0,0,0,0,0
2007-08-04,0.03,29.31,5.7,8,0,1,0,0,0,0,0,0
2007-08-05,1.43,29.08,5.4,21,0,1,1,1,0,0,1,0
2007-08-06,0.26,29.13,1.6,10,0,1,1,1,0,0,1,0
2007-08-07,1.31,29.06,6.2,25,0,1,0,1,0,0,0,0
2007-08-08,0.06,29.13,3.0,3,0,1,0,1,0,0,1,0
2007-08-09,0.05,29.13,2.5,29,0,1,0,0,0,0,1,0
2007-08-10,0.0,29.26,4.5,2,0,0,0,1,0,0,0,0
2007-08-11,0.0,29.31,3.2,19,0,0,1,1,0,0,0,0
2007-08-12,0.29,29.34,1.7,6,0,0,0,0,0,0,1,0
2007-08-13,0.0,29.39,6.2,6,0,0,0,1,0,0,0,0
2007-08-14,0.41,29.23,5.9,25,0,1,0,1,0,0,1,1
2007-08-15,0.23,29.17,3.4,7,0,1,0,1,0,0,1,0
2007-08-16,0.0,29.28,3.6,1,0,0,0,1,0,0,0,0
2007-08-17,0.0,29.41,5.9,32,0,0,0,0,0,0,0,0
2007-08-18,0.09,29.44,6.4,12,0,1,0,0,0,0,0,0
2007-08-19,1.33,29.24,6.0,10,0,1,0,1,0,0,0,1
2007-08-20,0.91,29.15,0.5,12,0,1,0,1,0,0,1,0
2007-08-21,0.005,29.21,3.8,18,0,0,1,1,0,0,0,0
2007-08-22,0.37,29.23,5.3,21,0,1,0,0,0,0,1,1
2007-08-23,2.35,29.15,9.6,21,1,1,0,1,0,0,1,1
2007-08-24,0.24,29.11,5.8,25,0,1,0,0,0,0,1,0
2007-08-25,0.34,29.23,3.0,36,0,1,0,0,0,0,0,0
2007-08-26,0.0,29.38,3.6,11,0,0,0,0,0,0,0,0
2007-08-27,0.0,29.36,6.5,17,0,0,0,0,0,0,0,0
2007-08-28,0.0,29.28,9.0,20,0,0,0,0,0,0,0,0
2007-08-29,0.005,29.34,5.6,3,0,0,0,0,0,0,0,0
2007-08-30,0.0,29.47,9.1,2,0,0,0,0,0,0,0,0
2007-08-31,0.0,29.47,3.9,4,0,0,0,0,0,0,0,0
2007-09-01,0.0,29.49,4.2,11,0,0,0,0,0,0,0,0
2007-09-02,0.0,29.41,4.2,21,0,0,0,0,0,0,0,0
2007-09-03,0.0,29.36,2.0,27,0,0,0,0,0,0,0,0
2007-09-04,0.0,29.28,2.8,22,0,0,0,0,0,0,0,0
2007-09-05,0.005,29.24,6.4,19,0,1,0,0,0,0,0,0
2007-09-06,0.18,29.21,11.9,20,0,1,1,0,0,0,0,0
2007-09-07,0.19,29.15,10.4,23,0,1,1,1,0,0,1,0
2007-09-08,0.0,29.3,6.0,5,0,0,0,0,0,0,0,0
2007-09-09,0.0,29.36,9.2,3,0,0,0,0,0,0,0,0
2007-09-10,0.36,29.3,7.2,2,0,1,0,1,0,0,0,0
2007-09-11,0.005,29.2,11.7,29,0,0,0,0,0,0,0,0
2007-09-12,0.0,29.4,1.8,3,0,0,0,0,0,0,0,0
2007-09-13,0.0,29.23,8.3,19,0,0,0,0,0,0,0,0
2007-09-14,0.0,29.36,12.1,32,0,0,0,0,0,0,0,0
2007-09-15,0.0,29.56,1.4,33,0,0,0,0,0,0,0,0
2007-09-16,0.0,29.46,6.8,18,0,0,0,0,0,0,0,0
2007-09-17,0.0,29.39,11.7,17,0,0,0,0,0,0,0,0
2007-09-18,0.0,29.34,12.9,19,0,0,0,0,0,0,0,0
2007-09-19,0.0,29.41,5.0,26,0,0,0,0,0,0,0,0
2007-09-20,0.0,29.39,5.3,7,0,0,0,0,0,0,0,0
2007-09-21,0.0,29.18,10.3,21,0,0,1,0,0,0,0,0
2007-09-22,0.0,29.42,2.6,3,0,0,0,0,0,0,0,0
2007-09-23,0.0,29.43,4.6,13,0,0,0,0,0,0,0,0
2007-09-24,0.0,29.27,11.4,19,0,0,0,0,0,0,0,0
2007-09-25,0.27,29.23,7.9,23,0,1,0,0,0,0,0,1
2007-09-26,0.09,29.31,4.3,1,0,1,0,0,0,0,0,0
2007-09-27,0.005,29.26,4.9,24,0,0,0,1,0,0,0,0
2007-09-28,0.0,29.47,2.3,4,0,0,0,0,0,0,0,0
2007-09-29,0.0,29.5,9.5,17,0,0,0,0,0,0,0,0
2007-09-30,0.14,29.36,14.4,19,0,0,0,1,0,0,1,0
2007-10-01,0.29,29.28,6.1,22,0,1,0,1,0,1,0,0
2007-10-02,0.09,29.18,10.8,19,0,1,0,1,0,0,0,0
2007-10-03,0.0,29.28,5.9,26,0,0,0,0,0,0,0,0
2007-10-04,0.0,29.34,3.9,17,0,0,1,0,0,0,0,0
2007-10-05,0.0,29.36,7.0,17,0,0,1,0,0,0,0,0
2007-10-06,0.0,29.33,6.9,20,0,0,0,0,0,0,0,0
2007-10-07,0.0,29.31,5.2,19,0,0,0,0,0,0,0,0
2007-10-08,0.0,29.23,7.7,24,0,0,0,0,0,0,0,0
2007-10-09,0.0,29.21,11.5,28,0,0,0,0,0,0,0,0
2007-10-10,0.005,29.21,15.1,31,0,1,0,0,0,1,0,0
2007-10-11,0.0,29.28,11.9,36,0,0,0,0,0,0,0,0
2007-10-12,0.0,29.28,3.4,35,0,0,0,0,0,0,0,0
2007-10-13,0.0,29.31,2.7,20,0,0,0,0,0,0,0,0
2007-10-14,0.15,29.34,5.6,11,0,1,0,0,0,0,0,0
2007-10-15,0.07,29.21,4.1,14,0,1,0,1,0,0,0,0
2007-10-16,0.24,29.16,6.4,21,0,1,0,1,0,1,0,0
2007-10-17,0.04,29.07,9.3,14,0,1,1,0,0,0,0,0
2007-10-18,0.3,28.59,17.2,19,0,1,0,1,0,0,0,0
2007-10-19,0.01,28.75,16.2,24,0,1,0,1,0,0,0,0
2007-10-20,0.0,29.02,10.9,21,0,0,0,0,0,0,0,0
2007-10-21,0.0,29.08,18.0,20,0,0,0,0,0,0,0,0
2007-10-22,0.16,29.26,5.2,36,0,1,0,1,0,1,0,0
2007-10-23,0.0,29.2,5.2,31,0,0,0,0,0,0,0,0
2007-10-24,0.0,29.46,13.3,2,0,0,0,0,0,0,0,0
2007-10-25,0.005,29.47,13.9,6,0,1,0,0,0,0,0,0
2007-10-26,0.33,29.31,6.2,5,0,1,0,1,0,0,0,0
2007-10-27,0.01,29.56,9.4,32,0,1,0,1,0,0,0,0
2007-10-28,0.0,29.79,3.4,23,0,0,0,0,0,0,0,0
2007-10-29,0.0,29.63,10.2,22,0,0,0,0,0,0,0,0
2007-10-30,0.0,29.43,12.2,20,0,0,0,0,0,0,0,0
2007-10-31,0.0,29.3,12.2,25,0,0,0,0,0,0,0,0
2008-05-01,0.0,28.95,10.6,16,0,0,0,0,0,0,0,0
2008-05-02,1.28,28.79,13.8,20,0,1,0,1,0,0,1,0
2008-05-03,0.005,29.01,10.4,25,0,1,0,0,0,0,0,0
2008-05-04,0.0,29.31,5.6,24,0,0,0,0,0,0,0,0
2008-05-05,0.0,29.27,4.4,26,0,0,0,0,0,0,0,0
2008-05-06,0.0,29.16,6.3,22,0,0,0,0,0,0,0,0
2008-05-07,0.76,28.97,3.5,23,0,1,0,1,0,0,0,0
2008-05-08,0.0,29.08,12.2,5,0,0,0,0,0,0,0,0
2008-05-09,0.0,29.15,6.3,3,0,0,0,0,0,0,0,0
2008-05-10,0.0,29.08,5.9,7,0,0,0,0,0,0,0,0
2008-05-11,0.95,28.85,14.5,2,0,1,0,1,0,0,0,0
2008-05-12,0.0,29.26,5.1,7,0,0,0,0,0,0,0,0
2008-05-13,0.08,29.2,15.5,18,0,1,0,0,0,0,1,0
2008-05-14,0.02,29.19,2.0,25,0,0,0,1,0,1,0,0
2008-05-15,0.0,29.33,6.8,5,0,0,0,0,0,0,0,0
2008-05-16,0.0,29.1,8.9,25,0,0,0,0,0,0,0,0
2008-05-17,0.12,28.87,12.9,30,0,1,0,0,0,0,0,0
2008-05-18,0.0,28.93,3.5,34,0,0,0,0,0,0,0,0
2008-05-19,0.005,28.96,3.9,7,0,1,0,0,0,0,0,0
2008-05-20,0.0,28.94,7.3,31,0,0,0,0,0,0,0,0
2008-05-21,0.0,29.0,7.2,32,0,0,0,0,0,0,0,0
2008-05-22,0.0,29.24,8.8,5,0,0,0,0,0,0,0,0
2008-05-23,0.0,29.41,10.7,3,0,0,0,0,0,0,0,0
2008-05-24,0.0,29.44,7.4,7,0,0,0,0,0,0,0,0
2008-05-25,0.005,29.18,10.3,18,0,0,0,0,0,0,1,0
2008-05-26,0.48,29.11,6.2,25,0,1,0,1,0,0,1,0
2008-05-27,0.0,29.5,19.2,3,0,0,0,0,0,0,0,0
2008-05-28,0.0,29.6,8.2,6,0,0,0,0,0,0,0,0
2008-05-29,0.01,29.39,3.5,11,0,1,0,0,0,0,0,0
2008-05-30,0.4,29.03,8.4,21,0,1,0,1,0,0,1,0
2008-05-31,0.0,29.1,10.8,28,0,0,0,0,0,0,0,0
2008-06-01,0.0,29.23,4.6,10,0,0,0,0,0,0,0,0
2008-06-02,0.005,29.16,1.9,8,0,1,0,0,0,0,0,0
2008-06-03,0.52,28.97,7.3,4,0,1,0,1,1,0,1,0
2008-06-04,0.005,28.9,4.5,4,0,0,1,1,1,1,1,0
2008-06-05,0.64,29.0,11.5,20,0,0,0,1,0,0,1,0
2008-06-06,0.005,29.07,21.1,20,0,1,0,0,0,0,0,0
2008-06-07,0.11,29.16,12.5,19,0,1,0,1,0,0,0,1
2008-06-08,1.24,29.11,6.5,18,0,1,0,0,0,0,1,1
2008-06-09,0.14,29.1,6.3,22,0,1,0,1,0,0,0,0
2008-06-10,0.005,29.18,8.8,25,0,1,0,0,0,0,0,0
2008-06-11,0.0,29.28,8.9,18,0,0,0,0,0,0,0,0
2008-06-12,0.0,29.2,16.1,18,0,0,0,0,0,0,0,0
2008-06-13,0.39,29.21,8.9,22,0,1,0,1,0,0,1,0
2008-06-14,0.0,29.23,8.3,24,0,0,0,0,0,0,0,0
2008-06-15,0.18,29.15,8.1,24,0,1,0,0,0,0,0,0
2008-06-16,0.0,29.2,10.7,31,0,0,0,0,0,0,0,0
2008-06-17,0.0,29.26,10.7,30,0,0,0,0,0,0,0,0
2008-06-18,0.0,29.21,4.8,3,0,0,0,0,0,0,0,0
2008-06-19,0.0,29.21,1.8,25,0,0,0,0,0,0,0,0
2008-06-20,0.09,29.25,6.7,22,0,1,0,0,0,0,1,0
2008-06-21,0.01,29.24,7.1,29,0,0,0,0,0,0,0,0
2008-06-22,0.16,29.18,2.9,31,0,0,0,0,0,0,1,1
2008-06-23,0.0,29.33,3.9,4,0,0,0,0,0,0,0,0
2008-06-24,0.0,29.44,5.1,18,0,0,0,0,0,0,0,0
2008-06-25,0.08,29.28,8.0,22,0,1,0,0,0,0,0,0
2008-06-26,0.0,29.15,6.3,26,0,0,0,1,0,0,0,0
2008-06-27,0.005,29.05,6.7,22,0,1,0,0,0,0,0,0
2008-06-28,0.04,28.98,12.1,25,0,0,1,0,0,0,1,0
2008-06-29,0.58,29.08,7.3,31,0,1,0,1,0,0,0,0
2008-06-30,0.0,29.28,6.0,34,0,0,0,0,0,0,0,0
2008-07-01,0.0,29.24,8.1,24,0,0,0,0,0,0,0,0
2008-07-02,0.2,29.09,8.7,23,0,1,0,1,0,0,0,1
2008-07-03,0.005,29.34,11.6,3,0,0,0,0,0,0,0,0
2008-07-04,0.0,29.35,6.0,5,0,0,0,0,0,0,0,0
2008-07-05,0.0,29.31,4.6,7,0,0,0,0,0,0,0,0
2008-07-06,0.0,29.21,9.3,19,0,0,0,0,0,0,0,0
2008-07-07,0.03,29.16,10.9,22,0,1,0,0,0,0,1,0
2008-07-08,0.03,29.1,7.8,26,0,0,0,0,0,0,0,0
2008-07-09,0.005,29.26,9.5,31,0,0,0,0,0,0,0,0
2008-07-10,0.72,29.26,8.5,23,0,1,0,1,0,0,1,0
2008-07-11,0.34,29.23,5.2,20,0,1,0,1,0,0,1,0
2008-07-12,0.73,29.19,7.7,26,0,1,0,1,0,0,1,1
2008-07-13,0.0,29.12,12.1,27,0,0,0,0,0,0,0,0
2008-07-14,0.0,29.22,4.5,29,0,0,0,0,0,0,0,0
2008-07-15,0.0,29.3,6.8,23,0,0,0,0,0,0,0,0
2008-07-16,0.0,29.39,5.0,23,0,0,0,0,0,0,0,0
2008-07-17,0.0,29.33,8.6,22,0,0,0,0,0,0,0,0
2008-07-18,0.04,29.24,2.6,22,0,1,0,0,0,0,0,0
2008-07-19,1.61,29.19,2.0,33,1,1,0,1,0,0,0,0
2008-07-20,0.74,29.2,4.5,25,0,0,0,0,0,0,1,0
2008-07-21,0.13,29.21,3.3,3,0,1,0,0,0,0,1,0
2008-07-22,0.005,29.31,8.2,3,0,0,0,0,0,0,0,0
2008-07-23,0.0,29.39,7.6,2,0,0,0,0,0,0,0,0
2008-07-24,0.0,29.33,3.9,24,0,0,0,0,0,0,0,0
2008-07-25,0.0,29.26,5.5,23,0,0,0,0,0,0,0,0
2008-07-26,0.0,29.22,8.5,31,0,0,0,1,0,0,0,0
2008-07-27,0.0,29.16,5.9,24,0,0,0,0,0,0,0,0
2008-07-28,0.0,29.16,4.0,7,0,0,0,0,0,0,0,0
2008-07-29,0.05,29.14,6.4,20,0,1,0,0,0,0,1,0
2008-07-30,0.0,29.04,7.8,27,0,0,0,0,0,0,0,0
2008-07-31,0.14,29.06,4.9,27,0,1,0,1,0,0,0,0
2008-08-01,1.05,29.09,3.1,31,0,1,0,0,0,0,0,0
2008-08-02,0.0,29.24,8.4,3,0,0,0,0,0,0,0,0
2008-08-03,0.0,29.24,5.3,18,0,0,0,0,0,0,0,0
2008-08-04,2.43,29.18,3.1,18,0,1,0,1,0,0,1,1
2008-08-05,0.0,29.24,6.2,31,0,0,1,0,0,0,0,0
2008-08-06,0.0,29.29,6.8,30,0,0,0,0,0,0,0,0
2008-08-07,0.0,29.26,7.8,34,0,0,0,0,0,0,0,0
2008-08-08,0.0,29.29,4.5,2,0,0,0,0,0,0,0,0
2008-08-09,0.005,29.2,2.6,31,0,0,0,0,0,0,0,0
2008-08-10,0.0,29.31,8.4,2,0,0,0,0,0,0,0,0
2008-08-11,0.0,29.3,3.9,5,0,0,0,0,0,0,0,0
2008-08-12,0.0,29.17,3.3,10,0,0,0,0,0,0,0,0
2008-08-13,0.06,29.11,3.0,7,0,1,0,0,0,0,0,0
2008-08-14,0.0,29.23,7.3,3,0,0,1,1,0,0,0,0
2008-08-15,0.0,29.44,6.9,3,0,0,0,0,0,0,0,0
2008-08-16,0.0,29.4,5.7,29,0,0,0,0,0,0,0,0
2008-08-17,0.0,29.28,7.9,26,0,0,0,0,0,0,0,0
